"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-0,17;-61,75;-123,15;-185,76;-248,54;-311,49
-0,17;-61,73;-123,15;-185,76;-248,54;-311,49
-0,17;-61,92;-123,15;-185,76;-248,54;-311,49
-0,17;-61,92;-123,15;-185,75;-248,53;-311,49
-0,17;-61,92;-123,15;-185,93;-248,71;-311,49
-0,15;-61,92;-123,15;-185,93;-248,71;-311,49
-0,34;-61,90;-123,15;-185,93;-248,71;-311,49
-0,34;-62,09;-123,15;-185,93;-248,71;-311,49
-0,34;-62,09;-123,15;-185,93;-248,71;-311,49
-0,34;-62,09;-123,15;-185,93;-248,71;-311,48
-0,34;-62,09;-123,17;-185,92;-248,71;-311,66
-0,34;-62,07;-122,96;-186,10;-248,71;-311,66
-0,34;-62,26;-123,15;-186,10;-248,71;-311,66
-0,37;-62,26;-123,17;-186,10;-248,71;-311,66
-0,17;-62,26;-122,98;-186,10;-248,71;-311,66
-0,17;-62,24;-122,98;-186,10;-248,71;-311,66
-0,17;-62,44;-122,98;-186,10;-248,71;-311,66
-0,17;-62,44;-122,98;-186,10;-248,71;-311,66
-0,17;-62,44;-122,98;-186,09;-248,71;-311,66
-0,17;-62,44;-122,98;-186,28;-248,71;-311,66
-0,17;-62,42;-122,96;-186,28;-248,71;-311,66
-0,17;-62,61;-123,15;-186,28;-248,71;-311,66
-0,20;-62,61;-123,15;-186,28;-248,71;-311,66
0,00;-62,61;-123,15;-186,28;-248,71;-311,66
0,00;-62,61;-123,15;-186,28;-248,71;-311,66
0,00;-62,61;-123,15;-186,28;-248,71;-311,66
0,00;-62,61;-123,15;-186,28;-248,71;-311,66
