"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-3,49;-45,98;-67,09;-26,49;-47,35;-108,55
-3,89;-47,53;-67,60;-26,33;-46,15;-109,12
-4,01;-48,45;-68,12;-24,72;-45,06;-109,41
-4,35;-49,08;-68,69;-23,17;-43,34;-109,98
-4,69;-49,94;-69,09;-22,49;-42,43;-110,32
-4,85;-50,86;-69,21;-21,06;-40,99;-110,72
-5,78;-51,60;-69,66;-19,61;-39,68;-110,84
-6,53;-52,12;-69,61;-19,22;-38,99;-111,28
-7,04;-52,69;-69,83;-18,84;-37,50;-111,23
-7,68;-52,98;-69,89;-15,70;-36,35;-111,46
-7,79;-53,50;-69,71;-16,35;-35,78;-111,46
-7,83;-54,12;-69,54;-15,83;-34,75;-111,51
-9,16;-54,24;-69,37;-15,32;-33,60;-111,33
-10,14;-54,70;-69,25;-14,86;-32,91;-111,16
-10,65;-54,70;-68,96;-14,11;-32,17;-111,04
-11,41;-54,70;-68,45;-14,20;-31,71;-110,65
-10,70;-54,81;-67,93;-11,24;-31,08;-110,58
-12,19;-54,41;-67,47;-10,46;-30,05;-110,01
-13,35;-54,35;-66,78;-12,68;-29,70;-109,72
-14,16;-53,83;-66,10;-12,63;-29,30;-109,20
-14,56;-53,26;-65,46;-10,95;-29,19;-108,73
-14,43;-52,97;-64,66;-10,45;-28,72;-108,05
-15,46;-52,40;-63,57;-13,00;-28,78;-107,36
-16,68;-52,17;-62,77;-13,69;-28,55;-106,67
-17,19;-51,59;-61,79;-14,44;-28,55;-106,03
-17,77;-50,51;-60,53;-14,96;-28,49;-105,18
-18,05;-49,59;-59,50;-15,53;-28,72;-104,32
-18,45;-48,96;-58,64;-16,48;-28,67;-103,46
-19,37;-48,21;-56,92;-13,48;-28,84;-102,65
-20,12;-46,95;-55,95;-17,53;-29,19;-101,62
-20,63;-45,86;-54,91;-18,80;-28,55;-100,58
